YEAR,PLAYER,TEAM,AGE,FG_PCT,FG3_PCT,FT_PCT,PPG,RPG,APG,SPG,TOPG,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,EFG_PCT,USG_PCT,AST_PCT,REB_PCT,PIE,PACE
2021-22,Aaron Gordon,DEN,26.0,0.52,0.335,0.743,15.0,5.9,2.5,0.6,1.8,117.3,111.1,6.2,0.602,0.573,0.194,0.109,0.095,0.096,99.0
2021-22,Aaron Henry,PHI,22.0,0.2,0.0,0.0,0.3,0.2,0.0,0.0,0.3,71.1,127.0,-56.0,0.2,0.2,0.149,0.0,0.024,-0.079,105.99
2021-22,Aaron Holiday,PHX,25.0,0.447,0.379,0.868,6.3,1.9,2.4,0.7,1.1,106.8,108.2,-1.4,0.544,0.504,0.182,0.223,0.058,0.088,99.57
2021-22,Aaron Nesmith,BOS,22.0,0.396,0.27,0.808,3.8,1.7,0.4,0.4,0.6,107.3,104.3,3.0,0.507,0.481,0.164,0.057,0.073,0.048,100.58
2021-22,Aaron Wiggins,OKC,23.0,0.463,0.304,0.729,8.3,3.6,1.4,0.6,1.1,104.5,112.6,-8.1,0.556,0.525,0.149,0.083,0.069,0.062,101.6
2021-22,Abdel Nader,PHX,28.0,0.343,0.286,0.6,2.4,1.9,0.5,0.6,0.8,95.1,96.0,-0.9,0.431,0.4,0.139,0.065,0.087,0.036,107.91
2021-22,Ade Murkey,SAC,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,66.7,-33.3,0.0,0.0,0.0,0.0,0.0,0.0,98.18
2021-22,Admiral Schofield,ORL,25.0,0.419,0.329,0.8,3.8,2.3,0.7,0.1,0.6,100.3,113.8,-13.5,0.538,0.519,0.143,0.084,0.088,0.055,99.88
2021-22,Ahmad Caver,IND,25.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,200.0,66.7,133.3,1.0,1.0,0.5,0.0,0.0,0.4,142.29
2021-22,Al Horford,BOS,36.0,0.467,0.336,0.842,10.2,7.7,3.4,0.7,0.9,112.8,103.4,9.3,0.574,0.546,0.147,0.159,0.13,0.123,98.03
2021-22,Alec Burks,NYK,30.0,0.391,0.404,0.822,11.7,4.9,3.0,1.0,1.1,110.3,108.1,2.3,0.559,0.499,0.171,0.158,0.082,0.099,96.97
2021-22,Aleem Ford,ORL,24.0,0.3,0.133,0.0,2.8,3.0,0.4,0.2,0.8,98.6,120.7,-22.1,0.35,0.35,0.148,0.043,0.099,0.022,93.68
2021-22,Aleksej Pokusevski,OKC,20.0,0.408,0.289,0.7,7.6,5.2,2.1,0.6,1.5,103.6,106.1,-2.5,0.485,0.47,0.195,0.161,0.121,0.095,100.66
2021-22,Alex Caruso,CHI,28.0,0.398,0.333,0.795,7.4,3.6,4.0,1.7,1.4,110.5,105.5,5.1,0.528,0.48,0.13,0.194,0.064,0.077,99.49
2021-22,Alex Len,SAC,29.0,0.534,0.286,0.651,6.0,4.1,1.2,0.3,1.1,106.0,111.4,-5.5,0.577,0.551,0.165,0.104,0.121,0.074,102.74
2021-22,Alfonzo McKinnie,CHI,29.0,0.393,0.333,0.25,3.5,1.9,0.3,0.1,0.4,108.6,121.5,-12.9,0.457,0.467,0.148,0.034,0.084,0.02,97.37
2021-22,Alize Johnson,NOP,26.0,0.436,0.0,0.583,1.8,2.7,0.4,0.2,0.5,105.1,115.7,-10.6,0.463,0.436,0.14,0.08,0.178,0.069,97.6
2021-22,Alperen Sengun,HOU,19.0,0.474,0.248,0.711,9.6,5.5,2.6,0.8,2.0,106.4,116.6,-10.2,0.552,0.502,0.214,0.193,0.13,0.099,101.69
2021-22,Amir Coffey,LAC,25.0,0.453,0.378,0.863,9.0,2.9,1.8,0.6,0.7,110.1,111.0,-0.9,0.598,0.556,0.154,0.112,0.06,0.086,100.02
2021-22,Andre Drummond,BKN,28.0,0.57,0.0,0.524,7.9,9.3,1.8,1.1,1.6,112.2,109.8,2.4,0.574,0.57,0.181,0.13,0.23,0.14,99.27
2021-22,Andre Iguodala,GSW,38.0,0.38,0.23,0.75,4.0,3.2,3.7,0.9,0.9,105.7,97.0,8.7,0.478,0.45,0.113,0.263,0.078,0.103,99.57
2021-22,Andrew Wiggins,GSW,27.0,0.466,0.393,0.634,17.2,4.5,2.2,1.0,1.5,111.2,105.4,5.8,0.56,0.543,0.224,0.109,0.066,0.097,99.79
2021-22,Anfernee Simons,POR,23.0,0.443,0.405,0.888,17.3,2.6,3.9,0.5,2.0,110.5,112.9,-2.5,0.583,0.555,0.244,0.219,0.044,0.102,98.43
2021-22,Anthony Davis,LAL,29.0,0.532,0.186,0.713,23.2,9.9,3.1,1.2,2.1,105.9,108.9,-3.0,0.578,0.542,0.263,0.147,0.134,0.159,101.79
2021-22,Anthony Edwards,MIN,20.0,0.441,0.357,0.786,21.3,4.8,3.8,1.5,2.6,114.6,110.6,4.0,0.56,0.527,0.262,0.173,0.067,0.111,101.18
2021-22,Anthony Gill,WAS,29.0,0.569,0.538,0.808,4.1,1.9,0.6,0.1,0.4,114.7,108.9,5.8,0.682,0.633,0.138,0.08,0.094,0.081,100.53
2021-22,Anthony Lamb,HOU,24.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,105.9,76.5,29.4,0.0,0.0,0.105,0.4,0.056,0.036,106.2
2021-22,Armoni Brooks,TOR,24.0,0.339,0.297,0.857,5.3,1.9,1.1,0.5,0.5,108.3,112.1,-3.8,0.483,0.467,0.159,0.105,0.058,0.054,100.95
2021-22,Arnoldas Kulboka,CHA,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,150.0,-100.0,0.0,0.0,0.071,0.0,0.0,-0.114,108.68
2021-22,Austin Reaves,LAL,24.0,0.459,0.317,0.839,7.3,3.2,1.8,0.5,0.7,110.8,109.0,1.8,0.6,0.542,0.121,0.101,0.066,0.076,101.81
2021-22,Austin Rivers,DEN,29.0,0.417,0.342,0.727,6.0,1.7,1.3,0.8,0.8,113.0,111.1,1.9,0.546,0.53,0.123,0.082,0.039,0.043,98.91
2021-22,Avery Bradley,LAL,31.0,0.423,0.39,0.889,6.4,2.2,0.8,0.9,0.6,105.4,111.2,-5.8,0.55,0.54,0.119,0.046,0.047,0.045,100.99
2021-22,Ayo Dosunmu,CHI,22.0,0.52,0.376,0.679,8.8,2.8,3.3,0.8,1.4,109.1,114.1,-5.0,0.596,0.585,0.138,0.164,0.052,0.07,100.31
2021-22,BJ Johnson,ORL,26.0,0.44,0.4,0.0,6.5,3.8,0.0,0.0,0.0,103.8,113.0,-9.2,0.52,0.52,0.169,0.0,0.107,0.083,97.34
2021-22,Bam Adebayo,MIA,24.0,0.557,0.0,0.753,19.1,10.1,3.4,1.4,2.6,113.1,104.9,8.1,0.608,0.557,0.248,0.172,0.159,0.161,97.21
2021-22,Ben McLemore,POR,29.0,0.401,0.362,0.818,10.2,1.6,0.9,0.6,0.9,101.9,115.0,-13.1,0.567,0.541,0.207,0.077,0.039,0.07,100.73
2021-22,Bismack Biyombo,PHX,29.0,0.593,0.0,0.535,5.8,4.6,0.6,0.3,0.7,111.8,106.2,5.6,0.596,0.593,0.167,0.064,0.161,0.102,99.44
2021-22,Blake Griffin,BKN,33.0,0.425,0.262,0.724,6.4,4.1,1.9,0.5,0.6,107.8,112.5,-4.7,0.518,0.486,0.167,0.157,0.116,0.091,101.65
2021-22,Boban Marjanovic,DAL,33.0,0.6,0.25,0.591,4.3,1.7,0.1,0.0,0.7,108.3,95.5,12.8,0.615,0.607,0.311,0.044,0.152,0.131,99.23
